Date,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
12/19/1982,Green Bay Packers,20,Baltimore Colts,20,-7,36
12/19/1982,Houston Oilers,14,Philadelphia Eagles,35,6,35
12/19/1982,Kansas City Chiefs,37,Denver Broncos,16,6.5,38
12/19/1982,Minnesota Vikings,34,Detroit Lions,31,4,38
12/19/1982,New England Patriots,16,Seattle Seahawks,0,4,33
12/19/1982,New Orleans Saints,7,Dallas Cowboys,21,10,39
12/19/1982,New York Giants,14,Washington Redskins,15,3.5,36
12/19/1982,Pittsburgh Steelers,9,Cleveland Browns,10,-3.5,39
12/19/1982,St Louis Cardinals,10,Chicago Bears,7,-1,35
12/20/1982,Cincinnati Bengals,34,San Diego Chargers,50,3,50
12/26/1982,Baltimore Colts,26,San Diego Chargers,44,13.5,45
12/26/1982,Chicago Bears,34,Los Angeles Rams,26,3,42
12/26/1982,Cleveland Browns,20,Houston Oilers,14,-4,38
12/26/1982,Denver Broncos,10,Los Angeles Raiders,27,7.5,48
12/26/1982,Detroit Lions,21,Tampa Bay Buccaneers,23,3.5,36
12/26/1982,Green Bay Packers,38,Atlanta Falcons,7,3.5,47
12/26/1982,New England Patriots,14,Pittsburgh Steelers,37,7,36
12/26/1982,New York Giants,21,St Louis Cardinals,24,1,34
12/26/1982,New York Jets,42,Minnesota Vikings,14,-2.5,41
12/26/1982,Philadelphia Eagles,24,Dallas Cowboys,20,8,41
12/26/1982,Seattle Seahawks,10,Cincinnati Bengals,24,10,40
12/26/1982,San Francisco 49ers,26,Kansas City Chiefs,13,-3,41
12/26/1982,Washington Redskins,27,New Orleans Saints,10,-3,34
12/27/1982,Buffalo Bills,10,Miami Dolphins,27,3,36
01/02/1983,Atlanta Falcons,6,New Orleans Saints,35,-5,41
01/02/1983,Buffalo Bills,19,New England Patriots,30,-3.5,36
01/02/1983,Chicago Bears,23,Tampa Bay Buccaneers,26,5,36
01/02/1983,Cincinnati Bengals,35,Houston Oilers,27,-10,38
01/02/1983,Cleveland Browns,21,Pittsburgh Steelers,37,6,38
01/02/1983,Denver Broncos,11,Seattle Seahawks,13,3,40
01/02/1983,Green Bay Packers,24,Detroit Lions,27,0,43
01/02/1983,Miami Dolphins,34,Baltimore Colts,7,-8,36
01/02/1983,New York Giants,26,Philadelphia Eagles,24,4,36
01/02/1983,New York Jets,13,Kansas City Chiefs,37,-5,42
01/02/1983,Los Angeles Raiders,41,San Diego Chargers,34,3.5,54
01/02/1983,Los Angeles Rams,21,San Francisco 49ers,20,10,51
01/02/1983,St Louis Cardinals,0,Washington Redskins,28,5,33
01/03/1983,Dallas Cowboys,27,Minnesota Vikings,31,-4,47
