Date,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
09/12/1982,Atlanta Falcons,16,New York Giants,14,1.5,37
09/12/1982,Chicago Bears,10,Detroit Lions,17,5.5,37
09/12/1982,Cleveland Browns,21,Seattle Seahawks,7,-2.5,40
09/12/1982,Houston Oilers,6,Cincinnati Bengals,27,7,40
09/12/1982,Kansas City Chiefs,9,Buffalo Bills,14,3.5,35
09/12/1982,Miami Dolphins,45,New York Jets,28,2,37
09/12/1982,New England Patriots,24,Baltimore Colts,13,-2,45
09/12/1982,Los Angeles Raiders,23,San Francisco 49ers,17,6,38
09/12/1982,Los Angeles Rams,23,Green Bay Packers,35,-1,40
09/12/1982,San Diego Chargers,23,Denver Broncos,3,1,42
09/12/1982,St Louis Cardinals,21,New Orleans Saints,7,-1,36
09/12/1982,Tampa Bay Buccaneers,10,Minnesota Vikings,17,2,38
09/12/1982,Washington Redskins,37,Philadelphia Eagles,34,6.5,37
09/13/1982,Pittsburgh Steelers,36,Dallas Cowboys,28,5.5,42
09/16/1982,Minnesota Vikings,22,Buffalo Bills,23,3,35
09/19/1982,Baltimore Colts,20,Miami Dolphins,24,12.5,45
09/19/1982,Cincinnati Bengals,20,Pittsburgh Steelers,26,-1,43
09/19/1982,Dallas Cowboys,24,St Louis Cardinals,7,-4,39
09/19/1982,Detroit Lions,19,Los Angeles Rams,14,1.5,44
09/19/1982,New Orleans Saints,10,Chicago Bears,0,4.5,34
09/19/1982,New York Jets,31,New England Patriots,7,-1,46
09/19/1982,Philadelphia Eagles,24,Cleveland Browns,21,2.5,42
09/19/1982,Los Angeles Raiders,38,Atlanta Falcons,14,3,40
09/19/1982,San Diego Chargers,12,Kansas City Chiefs,19,-3,40
09/19/1982,Seattle Seahawks,21,Houston Oilers,23,3.5,35
09/19/1982,San Francisco 49ers,21,Denver Broncos,24,1,40
09/19/1982,Washington Redskins,21,Tampa Bay Buccaneers,13,3.5,37
09/20/1982,Green Bay Packers,27,New York Giants,19,2.5,41
11/21/1982,Baltimore Colts,0,New York Jets,37,8,39
11/21/1982,Cincinnati Bengals,18,Philadelphia Eagles,14,1,40
11/21/1982,Detroit Lions,17,Chicago Bears,20,-3.5,32
11/21/1982,Kansas City Chiefs,17,New Orleans Saints,27,-2.5,31
11/21/1982,Miami Dolphins,9,Buffalo Bills,7,1,35
11/21/1982,Minnesota Vikings,7,Green Bay Packers,26,2,40
11/21/1982,New England Patriots,7,Cleveland Browns,10,6.5,38
11/21/1982,Pittsburgh Steelers,24,Houston Oilers,10,-5.5,38
11/21/1982,Los Angeles Rams,17,Atlanta Falcons,34,3.5,40
11/21/1982,Seattle Seahawks,17,Denver Broncos,10,7.5,36
11/21/1982,San Francisco 49ers,31,St Louis Cardinals,20,-4,36
11/21/1982,Tampa Bay Buccaneers,9,Dallas Cowboys,14,7,37
11/21/1982,Washington Redskins,27,New York Giants,17,0,35
11/22/1982,San Diego Chargers,24,Los Angeles Raiders,28,1,41
11/25/1982,Cleveland Browns,14,Dallas Cowboys,31,6.5,38
11/25/1982,New York Giants,13,Detroit Lions,6,4,36
11/28/1982,Baltimore Colts,0,Buffalo Bills,20,13,36
11/28/1982,Chicago Bears,7,Minnesota Vikings,35,5.5,36
11/28/1982,Denver Broncos,20,San Diego Chargers,30,6.5,40
11/28/1982,Green Bay Packers,13,New York Jets,15,3.5,42
11/28/1982,Houston Oilers,21,New England Patriots,29,2.5,36
11/28/1982,Kansas City Chiefs,14,Los Angeles Rams,20,2,39
11/28/1982,New Orleans Saints,23,San Francisco 49ers,20,7.5,38
11/28/1982,Philadelphia Eagles,9,Washington Redskins,13,2.5,42
11/28/1982,Pittsburgh Steelers,0,Seattle Seahawks,16,-6,43
11/28/1982,Los Angeles Raiders,17,Cincinnati Bengals,31,4.5,43
11/28/1982,St Louis Cardinals,23,Atlanta Falcons,20,7,42
11/29/1982,Miami Dolphins,17,Tampa Bay Buccaneers,23,-2,33
12/05/1982,Atlanta Falcons,34,Denver Broncos,27,3.5,42
12/05/1982,Buffalo Bills,21,Green Bay Packers,33,2.5,38
12/05/1982,Cincinnati Bengals,20,Baltimore Colts,17,-14.5,38
12/05/1982,Dallas Cowboys,24,Washington Redskins,10,-2,42
12/05/1982,Houston Oilers,14,New York Giants,17,7,35
12/05/1982,Kansas City Chiefs,14,Pittsburgh Steelers,35,6.5,41
12/05/1982,Minnesota Vikings,14,Miami Dolphins,22,6,38
12/05/1982,New England Patriots,13,Chicago Bears,26,2,36
12/05/1982,San Diego Chargers,30,Cleveland Browns,13,-3,44
12/05/1982,Seattle Seahawks,23,Los Angeles Raiders,28,6.5,40
12/05/1982,San Francisco 49ers,30,Los Angeles Rams,24,-2.5,42
12/05/1982,St Louis Cardinals,23,Philadelphia Eagles,20,5.5,39
12/05/1982,Tampa Bay Buccaneers,13,New Orleans Saints,10,2.5,35
12/06/1982,New York Jets,28,Detroit Lions,13,1,39
12/11/1982,Philadelphia Eagles,7,New York Giants,23,2,37
12/11/1982,San Diego Chargers,41,San Francisco 49ers,37,2,47
12/12/1982,Baltimore Colts,10,Minnesota Vikings,13,12,38
12/12/1982,Chicago Bears,14,Seattle Seahawks,20,3.5,35
12/12/1982,Cleveland Browns,10,Cincinnati Bengals,23,8,44
12/12/1982,Denver Broncos,27,Los Angeles Rams,24,2.5,43
12/12/1982,Detroit Lions,30,Green Bay Packers,10,5.5,41
12/12/1982,Miami Dolphins,0,New England Patriots,3,-6,37
12/12/1982,New Orleans Saints,0,Atlanta Falcons,35,3.5,41
12/12/1982,Pittsburgh Steelers,0,Buffalo Bills,13,0,40
12/12/1982,Los Angeles Raiders,21,Kansas City Chiefs,16,-3,40
12/12/1982,Tampa Bay Buccaneers,17,New York Jets,32,3.5,35
12/12/1982,Washington Redskins,12,St Louis Cardinals,7,-1,42
12/13/1982,Dallas Cowboys,37,Houston Oilers,7,-8.5,38
12/18/1982,New York Jets,19,Miami Dolphins,20,0,35
12/18/1982,Los Angeles Rams,31,Los Angeles Raiders,37,8,47
12/19/1982,Atlanta Falcons,17,San Francisco 49ers,7,4,50
12/19/1982,Buffalo Bills,23,Tampa Bay Buccaneers,24,1,34
