Date,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
09/01/1979,Detroit Lions,16,Tampa Bay Buccaneers,31,3,30
09/02/1979,Atlanta Falcons,40,New Orleans Saints,34,5,32
09/02/1979,Baltimore Colts,0,Kansas City Chiefs,14,1,37
09/02/1979,Cincinnati Bengals,0,Denver Broncos,10,3,31.5
09/02/1979,Cleveland Browns,25,New York Jets,22,2,41
09/02/1979,Dallas Cowboys,22,St Louis Cardinals,21,-4,37
09/02/1979,Green Bay Packers,3,Chicago Bears,6,3,31
09/02/1979,Houston Oilers,29,Washington Redskins,27,-4,33
09/02/1979,Miami Dolphins,9,Buffalo Bills,7,-5,39
09/02/1979,New York Giants,17,Philadelphia Eagles,23,7,31.5
09/02/1979,Oakland Raiders,24,Los Angeles Rams,17,4,36.5
09/02/1979,San Diego Chargers,33,Seattle Seahawks,16,2,42.5
09/02/1979,San Francisco 49ers,22,Minnesota Vikings,28,7,32
09/03/1979,Pittsburgh Steelers,16,New England Patriots,13,-2,37
09/06/1979,Los Angeles Rams,13,Denver Broncos,9,2,31.5
09/09/1979,Cincinnati Bengals,24,Buffalo Bills,51,-3,34
09/09/1979,Cleveland Browns,27,Kansas City Chiefs,24,0,36
09/09/1979,Dallas Cowboys,21,San Francisco 49ers,13,-13,39
09/09/1979,Houston Oilers,7,Pittsburgh Steelers,38,6,37
09/09/1979,New Orleans Saints,19,Green Bay Packers,28,3,35
09/09/1979,New York Jets,3,New England Patriots,56,8,42
09/09/1979,Oakland Raiders,10,San Diego Chargers,30,3,42
09/09/1979,Seattle Seahawks,10,Miami Dolphins,19,7,40.5
09/09/1979,St Louis Cardinals,27,New York Giants,14,-3,36
09/09/1979,Tampa Bay Buccaneers,29,Baltimore Colts,26,0,33
09/09/1979,Minnesota Vikings,7,Chicago Bears,26,6,31.5
09/09/1979,Washington Redskins,27,Detroit Lions,24,0,35.5
09/10/1979,Atlanta Falcons,14,Philadelphia Eagles,10,4,35.5
09/16/1979,Baltimore Colts,10,Cleveland Browns,13,7,42
09/16/1979,Buffalo Bills,19,San Diego Chargers,27,9,44
09/16/1979,Chicago Bears,20,Dallas Cowboys,24,9,37
09/16/1979,Denver Broncos,20,Atlanta Falcons,17,-3,32
09/16/1979,Detroit Lions,10,New York Jets,31,6,42
09/16/1979,Kansas City Chiefs,6,Houston Oilers,20,5,37
09/16/1979,Miami Dolphins,27,Minnesota Vikings,12,-7,37
09/16/1979,New England Patriots,20,Cincinnati Bengals,14,-6,41
09/16/1979,Oakland Raiders,10,Seattle Seahawks,27,3,44
09/16/1979,Philadelphia Eagles,26,New Orleans Saints,14,3,42
09/16/1979,Pittsburgh Steelers,24,St Louis Cardinals,21,-6,40
09/16/1979,San Francisco 49ers,24,Los Angeles Rams,27,13,39
09/16/1979,Tampa Bay Buccaneers,21,Green Bay Packers,10,2,36
09/17/1979,New York Giants,0,Washington Redskins,27,6,37
09/23/1979,Atlanta Falcons,23,Detroit Lions,24,-6,37
09/23/1979,Baltimore Colts,13,Pittsburgh Steelers,17,14,38
09/23/1979,Chicago Bears,16,Miami Dolphins,31,6,37
09/23/1979,Green Bay Packers,21,Minnesota Vikings,27,1,34
09/23/1979,Houston Oilers,30,Cincinnati Bengals,27,-3,37
09/23/1979,New Orleans Saints,30,San Francisco 49ers,21,0,42
09/23/1979,New York Jets,31,Buffalo Bills,46,3,42
09/23/1979,Oakland Raiders,7,Kansas City Chiefs,35,-3,41
09/23/1979,Philadelphia Eagles,17,New York Giants,13,-5,37
09/23/1979,Los Angeles Rams,6,Tampa Bay Buccaneers,21,-3,35
09/23/1979,San Diego Chargers,21,New England Patriots,27,3,44
09/23/1979,Seattle Seahawks,34,Denver Broncos,37,6,37
09/23/1979,Washington Redskins,17,St Louis Cardinals,7,3,39
09/24/1979,Dallas Cowboys,7,Cleveland Browns,26,-3,40
09/30/1979,Buffalo Bills,31,Baltimore Colts,13,2,42
09/30/1979,Cincinnati Bengals,13,Dallas Cowboys,38,10,40
09/30/1979,Cleveland Browns,10,Houston Oilers,31,6,39
09/30/1979,Denver Broncos,3,Oakland Raiders,27,-3,36
09/30/1979,Kansas City Chiefs,24,Seattle Seahawks,6,6,43
09/30/1979,Miami Dolphins,27,New York Jets,33,-4,43
09/30/1979,New York Giants,14,New Orleans Saints,24,6,39
09/30/1979,Pittsburgh Steelers,14,Philadelphia Eagles,17,-4,36
09/30/1979,San Francisco 49ers,9,San Diego Chargers,31,13,44
09/30/1979,St Louis Cardinals,0,Los Angeles Rams,21,6,38
09/30/1979,Tampa Bay Buccaneers,17,Chicago Bears,13,1,34
09/30/1979,Minnesota Vikings,13,Detroit Lions,10,3,39
09/30/1979,Washington Redskins,16,Atlanta Falcons,7,3,37
10/01/1979,New England Patriots,14,Green Bay Packers,27,-7,39
10/07/1979,Chicago Bears,7,Buffalo Bills,0,5,40
10/07/1979,Dallas Cowboys,36,Minnesota Vikings,20,-7,39
10/07/1979,Detroit Lions,17,New England Patriots,24,13,40
10/07/1979,Green Bay Packers,7,Atlanta Falcons,25,6,35
10/07/1979,Kansas City Chiefs,10,Cincinnati Bengals,7,0,38
10/07/1979,New York Jets,8,Baltimore Colts,10,-3,42
