Date,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
10/07/1979,Philadelphia Eagles,28,Washington Redskins,17,-1,37
10/07/1979,Pittsburgh Steelers,51,Cleveland Browns,35,-4,36
10/07/1979,Los Angeles Rams,35,New Orleans Saints,17,-4,39
10/07/1979,San Diego Chargers,0,Denver Broncos,7,-1,37
10/07/1979,Seattle Seahawks,35,San Francisco 49ers,24,-5,43
10/07/1979,St Louis Cardinals,24,Houston Oilers,17,7,39
10/07/1979,Tampa Bay Buccaneers,14,New York Giants,17,-6,34
10/08/1979,Miami Dolphins,3,Oakland Raiders,13,-1,39
10/14/1979,Atlanta Falcons,19,Oakland Raiders,50,10,37
10/14/1979,Buffalo Bills,7,Miami Dolphins,17,6,40
10/14/1979,Denver Broncos,24,Kansas City Chiefs,10,-1,34
10/14/1979,Detroit Lions,16,Green Bay Packers,24,4,36
10/14/1979,Houston Oilers,28,Baltimore Colts,16,-6,36
10/14/1979,New England Patriots,27,Chicago Bears,7,-4,37
10/14/1979,New Orleans Saints,42,Tampa Bay Buccaneers,14,8,38
10/14/1979,Philadelphia Eagles,24,St Louis Cardinals,20,3,38
10/14/1979,Pittsburgh Steelers,10,Cincinnati Bengals,34,-10,39
10/14/1979,Los Angeles Rams,6,Dallas Cowboys,30,3,39
10/14/1979,Seattle Seahawks,10,San Diego Chargers,20,10,44
10/14/1979,San Francisco 49ers,16,New York Giants,32,4,38
10/14/1979,Washington Redskins,13,Cleveland Browns,9,4,34
10/15/1979,Minnesota Vikings,7,New York Jets,14,4,42
10/21/1979,Atlanta Falcons,15,San Francisco 49ers,20,-4,42
10/21/1979,Baltimore Colts,14,Buffalo Bills,13,6,39
10/21/1979,Chicago Bears,27,Minnesota Vikings,30,2,36
10/21/1979,Cincinnati Bengals,27,Cleveland Browns,28,3,39
10/21/1979,Detroit Lions,7,New Orleans Saints,17,7,42
10/21/1979,Green Bay Packers,3,Tampa Bay Buccaneers,21,5,37
10/21/1979,Houston Oilers,14,Seattle Seahawks,34,-2,42
10/21/1979,Miami Dolphins,13,New England Patriots,28,5,38
10/21/1979,New York Giants,21,Kansas City Chiefs,17,6,36
10/21/1979,Oakland Raiders,19,New York Jets,28,-3,42
10/21/1979,San Diego Chargers,40,Los Angeles Rams,16,-1,37
10/21/1979,St Louis Cardinals,13,Dallas Cowboys,22,10,39
10/21/1979,Washington Redskins,17,Philadelphia Eagles,7,2,38
10/22/1979,Denver Broncos,7,Pittsburgh Steelers,42,7,37
10/25/1979,San Diego Chargers,22,Oakland Raiders,45,-1,41
10/28/1979,Buffalo Bills,20,Detroit Lions,17,-3,38
10/28/1979,Chicago Bears,28,San Francisco 49ers,27,-3,39
10/28/1979,Cleveland Browns,38,St Louis Cardinals,20,3,42
10/28/1979,Dallas Cowboys,3,Pittsburgh Steelers,14,3,39
10/28/1979,Green Bay Packers,7,Miami Dolphins,27,11,36
10/28/1979,Kansas City Chiefs,3,Denver Broncos,20,7,34
10/28/1979,New England Patriots,26,Baltimore Colts,31,-4,37
10/28/1979,New Orleans Saints,14,Washington Redskins,10,6,40
10/28/1979,New York Giants,20,Los Angeles Rams,14,6,37
10/28/1979,New York Jets,24,Houston Oilers,27,6,42
10/28/1979,Philadelphia Eagles,13,Cincinnati Bengals,37,3,38
10/28/1979,Tampa Bay Buccaneers,12,Minnesota Vikings,10,0,37
10/29/1979,Seattle Seahawks,31,Atlanta Falcons,28,-2,42
11/04/1979,Cincinnati Bengals,28,Baltimore Colts,38,3,42
11/04/1979,Cleveland Browns,24,Philadelphia Eagles,19,3,41
11/04/1979,Dallas Cowboys,16,New York Giants,14,-8,38
11/04/1979,Detroit Lions,7,Chicago Bears,35,7,35
11/04/1979,New England Patriots,26,Buffalo Bills,6,-5,41
11/04/1979,New Orleans Saints,3,Denver Broncos,10,6,37
11/04/1979,New York Jets,27,Green Bay Packers,22,-4,39
11/04/1979,Los Angeles Rams,24,Seattle Seahawks,0,3,41
11/04/1979,San Diego Chargers,20,Kansas City Chiefs,14,-6,37
11/04/1979,San Francisco 49ers,10,Oakland Raiders,23,12,44
11/04/1979,Tampa Bay Buccaneers,14,Atlanta Falcons,17,2,37
11/04/1979,Minnesota Vikings,7,St Louis Cardinals,37,5,39
11/04/1979,Washington Redskins,7,Pittsburgh Steelers,38,11,37
11/05/1979,Houston Oilers,9,Miami Dolphins,6,3,39
11/11/1979,Atlanta Falcons,3,New York Giants,24,2,36
11/11/1979,Baltimore Colts,0,Miami Dolphins,19,6,38
11/11/1979,Buffalo Bills,14,New York Jets,12,6,42
11/11/1979,New England Patriots,10,Denver Broncos,45,-1,34
11/11/1979,Oakland Raiders,17,Houston Oilers,31,1,40
11/11/1979,Pittsburgh Steelers,30,Kansas City Chiefs,3,-10,38
11/11/1979,Los Angeles Rams,23,Chicago Bears,27,0,34
11/11/1979,San Diego Chargers,26,Cincinnati Bengals,24,-4,43
11/11/1979,Seattle Seahawks,29,Cleveland Browns,24,6,43
11/11/1979,San Francisco 49ers,20,New Orleans Saints,31,7,42
11/11/1979,St Louis Cardinals,28,Washington Redskins,30,3,39
11/11/1979,Tampa Bay Buccaneers,16,Detroit Lions,14,-5,35
11/11/1979,Minnesota Vikings,7,Green Bay Packers,19,2,37
11/12/1979,Philadelphia Eagles,31,Dallas Cowboys,21,10,38
11/18/1979,Baltimore Colts,21,New England Patriots,50,10,40
11/18/1979,Cincinnati Bengals,21,Houston Oilers,42,8,43
11/18/1979,Dallas Cowboys,20,Washington Redskins,34,-4,37
11/18/1979,Denver Broncos,38,San Francisco 49ers,28,-9,39
11/18/1979,Detroit Lions,7,Minnesota Vikings,14,4,37
11/18/1979,Green Bay Packers,12,Buffalo Bills,19,7,37
11/18/1979,Kansas City Chiefs,24,Oakland Raiders,21,12,38
11/18/1979,Miami Dolphins,24,Cleveland Browns,30,0,40
11/18/1979,New Orleans Saints,24,Seattle Seahawks,38,3,42
11/18/1979,New York Giants,3,Tampa Bay Buccaneers,31,3,34
11/18/1979,New York Jets,13,Chicago Bears,23,3,39
11/18/1979,Pittsburgh Steelers,7,San Diego Chargers,35,-4,39
11/18/1979,St Louis Cardinals,13,Philadelphia Eagles,16,3,39
11/19/1979,Atlanta Falcons,14,Los Angeles Rams,20,7,35
11/22/1979,Chicago Bears,0,Detroit Lions,20,-6,36
11/22/1979,Houston Oilers,30,Dallas Cowboys,24,1,41
11/25/1979,Buffalo Bills,16,New England Patriots,13,10,41
11/25/1979,Cleveland Browns,30,Pittsburgh Steelers,33,10,42
11/25/1979,Kansas City Chiefs,7,San Diego Chargers,28,10,38
11/25/1979,Miami Dolphins,28,Baltimore Colts,24,-4,37
11/25/1979,New Orleans Saints,37,Atlanta Falcons,6,-2,43
11/25/1979,Oakland Raiders,14,Denver Broncos,10,4,37
11/25/1979,Philadelphia Eagles,21,Green Bay Packers,10,-4,36
11/25/1979,Los Angeles Rams,26,San Francisco 49ers,20,-6,39
11/25/1979,St Louis Cardinals,28,Cincinnati Bengals,34,2,42
11/25/1979,Minnesota Vikings,23,Tampa Bay Buccaneers,22,8,36
11/25/1979,Washington Redskins,6,New York Giants,14,-3,36
11/26/1979,New York Jets,7,Seattle Seahawks,30,6,45
11/29/1979,New England Patriots,24,Miami Dolphins,39,6,38
12/02/1979,Atlanta Falcons,28,San Diego Chargers,26,14,42
12/02/1979,Baltimore Colts,17,New York Jets,30,6,38
12/02/1979,Chicago Bears,14,Tampa Bay Buccaneers,0,4,36
12/02/1979,Cincinnati Bengals,17,Pittsburgh Steelers,37,14,44
12/02/1979,Denver Broncos,19,Buffalo Bills,16,-2,36
12/02/1979,Detroit Lions,7,Philadelphia Eagles,44,8,37
12/02/1979,Green Bay Packers,21,Washington Redskins,38,9,34
12/02/1979,Houston Oilers,7,Cleveland Browns,14,1,44
12/02/1979,New York Giants,7,Dallas Cowboys,28,11,38
12/02/1979,Seattle Seahawks,21,Kansas City Chiefs,37,-1,41
12/02/1979,San Francisco 49ers,10,St Louis Cardinals,13,6,43
12/02/1979,Minnesota Vikings,21,Los Angeles Rams,27,7,38
12/03/1979,Oakland Raiders,42,New Orleans Saints,35,3,43
12/08/1979,Dallas Cowboys,24,Philadelphia Eagles,17,-3,40
12/08/1979,Denver Broncos,23,Seattle Seahawks,28,-3,39
12/09/1979,Buffalo Bills,3,Minnesota Vikings,10,2,36
12/09/1979,Chicago Bears,15,Green Bay Packers,14,-4,36
12/09/1979,Cincinnati Bengals,14,Washington Redskins,28,6,42
12/09/1979,Cleveland Browns,14,Oakland Raiders,19,3,44.5
12/09/1979,Kansas City Chiefs,10,Baltimore Colts,7,0,36
12/09/1979,Miami Dolphins,28,Detroit Lions,10,-7,36
12/09/1979,New England Patriots,26,New York Jets,27,-4,44
12/09/1979,New York Giants,20,St Louis Cardinals,29,2,36
12/09/1979,Los Angeles Rams,34,Atlanta Falcons,13,-3,39
12/09/1979,San Diego Chargers,35,New Orleans Saints,0,4,45
12/09/1979,Tampa Bay Buccaneers,7,San Francisco 49ers,23,-3,38
12/10/1979,Pittsburgh Steelers,17,Houston Oilers,20,-3,42.5
12/15/1979,Green Bay Packers,18,Detroit Lions,13,3,34
12/15/1979,New York Jets,27,Miami Dolphins,24,6,45
12/16/1979,Baltimore Colts,31,New York Giants,7,6,37
12/16/1979,Buffalo Bills,0,Pittsburgh Steelers,28,12,39
12/16/1979,Cleveland Browns,12,Cincinnati Bengals,16,1,41
12/16/1979,Kansas City Chiefs,0,Tampa Bay Buccaneers,3,3,33
12/16/1979,New Orleans Saints,29,Los Angeles Rams,14,6,42
12/16/1979,Philadelphia Eagles,26,Houston Oilers,20,4,39
12/16/1979,Seattle Seahawks,29,Oakland Raiders,24,8,45
12/16/1979,San Francisco 49ers,21,Atlanta Falcons,31,3,45
12/16/1979,St Louis Cardinals,6,Chicago Bears,42,4,37
12/16/1979,Minnesota Vikings,23,New England Patriots,27,5,40
12/16/1979,Washington Redskins,34,Dallas Cowboys,35,8,39.5
12/17/1979,Denver Broncos,7,San Diego Chargers,17,6,38
